Number,FeelingNewCasino,CasinoFitToronto,Standalone,Complex,onlyCasino,noCasino,Convention Centre Space,Culture and Arts Facilities,Hotel,Nightclubs,Restaurants,Retail,Theatre,Other,Gender
55,Strongly opposed,Does Not Fit at All,Highly Suitable,Neutral or Mixed Feelings,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Transgender
56,Strongly opposed,Neutral,Highly Suitable,Neutral or Mixed Feelings,0,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Male
57,Somewhat in favour,Fits Image Perfectly,Somewhat Suitable,Strongly Unsuitable,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Female
58,Somewhat opposed,Fits Image Perfectly,Strongly Unsuitable,Strongly Unsuitable,0,1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Transgender
59,Somewhat in favour,Fits Image Somewhat,Highly Suitable,Strongly Unsuitable,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Transgender
60,Somewhat opposed,Fits Image Somewhat,Somewhat Suitable,Strongly Unsuitable,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Male
61,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Unsuitable,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Male
62,Neutral or mixed feelings,Fits Image Somewhat,Neutral or Mixed Feelings,Strongly Unsuitable,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Female
63,Strongly opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Unsuitable,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Female
64,Strongly opposed,Does Not Fit at All,Neutral or Mixed Feelings,Somewhat Unsuitable,0,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Female
65,Somewhat opposed,Fits Image Somewhat,Somewhat Suitable,Highly Suitable,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Female
66,Neutral or mixed feelings,Fits Image Somewhat,Neutral or Mixed Feelings,Neutral or Mixed Feelings,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Female
67,Neutral or mixed feelings,Fits Image Perfectly,Somewhat Suitable,Somewhat Unsuitable,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Transgender
68,Strongly in favour,Neutral,Highly Suitable,Highly Suitable,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Transgender
69,Somewhat opposed,Does Not Fit at All,Strongly Unsuitable,Somewhat Suitable,1,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Female
70,Somewhat in favour,Fits Image Perfectly,Somewhat Suitable,Highly Suitable,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Male
71,Somewhat in favour,Fits Image Somewhat,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Female
72,Neutral or mixed feelings,Fits Image Somewhat,Highly Suitable,Somewhat Suitable,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Transgender
73,Somewhat in favour,Fits Image Perfectly,Highly Suitable,Somewhat Suitable,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Male
74,Strongly in favour,Neutral,Somewhat Suitable,Somewhat Suitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Transgender
75,Neutral or mixed feelings,Fits Image Somewhat,Neutral or Mixed Feelings,Strongly Unsuitable,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Male
76,Strongly opposed,Fits Image Somewhat,Somewhat Suitable,Neutral or Mixed Feelings,1,1,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Transgender
77,Somewhat in favour,Neutral,Somewhat Unsuitable,Highly Suitable,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Male
78,Somewhat opposed,Fits Image Somewhat,Somewhat Suitable,Somewhat Unsuitable,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Male
79,Somewhat in favour,Fits Image Perfectly,Somewhat Unsuitable,Somewhat Unsuitable,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Male
80,Strongly opposed,Fits Image Somewhat,Highly Suitable,Highly Suitable,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female
81,Somewhat opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Transgender
82,Strongly in favour,Does Not Fit at All,Strongly Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Female
83,Neutral or mixed feelings,Fits Image Somewhat,Highly Suitable,Somewhat Unsuitable,0,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Female
84,Strongly opposed,Does Not Fit at All,Somewhat Unsuitable,Strongly Unsuitable,0,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Transgender
85,Strongly in favour,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Suitable,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Transgender
86,Neutral or mixed feelings,Fits Image Perfectly,Strongly Unsuitable,Neutral or Mixed Feelings,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Male
87,Neutral or mixed feelings,Neutral,Neutral or Mixed Feelings,Somewhat Suitable,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Male
88,Somewhat opposed,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Suitable,1,0,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,Male
89,Strongly opposed,Fits Image Perfectly,Somewhat Suitable,Somewhat Suitable,0,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Male
90,Strongly in favour,Does Not Fit at All,Somewhat Suitable,Neutral or Mixed Feelings,1,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Female
91,Somewhat opposed,Does Not Fit at All,Somewhat Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Female
92,Somewhat opposed,Fits Image Somewhat,Highly Suitable,Neutral or Mixed Feelings,1,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Male
93,Strongly opposed,Fits Image Perfectly,Somewhat Suitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Female
94,Strongly opposed,Fits Image Perfectly,Somewhat Unsuitable,Strongly Unsuitable,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Male
95,Somewhat in favour,Fits Image Perfectly,Strongly Unsuitable,Strongly Unsuitable,0,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Female
96,Neutral or mixed feelings,Neutral,Somewhat Suitable,Neutral or Mixed Feelings,0,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Female
97,Somewhat opposed,Does Not Fit at All,Strongly Unsuitable,Somewhat Suitable,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
98,Somewhat in favour,Does Not Fit at All,Highly Suitable,Somewhat Suitable,0,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Transgender
99,Strongly in favour,Does Not Fit at All,Strongly Unsuitable,Highly Suitable,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Transgender
100,Somewhat in favour,Fits Image Perfectly,Strongly Unsuitable,Somewhat Unsuitable,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
101,Somewhat in favour,Does Not Fit at All,Somewhat Unsuitable,Somewhat Unsuitable,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Female
102,Somewhat opposed,Fits Image Perfectly,Somewhat Unsuitable,Neutral or Mixed Feelings,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Female
103,Neutral or mixed feelings,Does Not Fit at All,Strongly Unsuitable,Highly Suitable,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
104,Strongly in favour,Fits Image Perfectly,Somewhat Unsuitable,Neutral or Mixed Feelings,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Transgender
105,Strongly in favour,Neutral,Somewhat Unsuitable,Strongly Unsuitable,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Female
106,Strongly in favour,Does Not Fit at All,Strongly Unsuitable,Neutral or Mixed Feelings,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Male
107,Somewhat opposed,Fits Image Somewhat,Strongly Unsuitable,Strongly Unsuitable,0,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Transgender
108,Somewhat opposed,Fits Image Somewhat,Somewhat Suitable,Neutral or Mixed Feelings,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Male
109,Strongly opposed,Does Not Fit at All,Neutral or Mixed Feelings,Neutral or Mixed Feelings,0,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Transgender
110,Somewhat opposed,Fits Image Perfectly,Strongly Unsuitable,Neutral or Mixed Feelings,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Male
111,Strongly in favour,Fits Image Somewhat,Somewhat Unsuitable,Strongly Unsuitable,0,1,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Transgender
112,Somewhat opposed,Fits Image Somewhat,Strongly Unsuitable,Somewhat Unsuitable,1,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Female
113,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Strongly Unsuitable,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Transgender
114,Somewhat in favour,Does Not Fit at All,Somewhat Suitable,Somewhat Suitable,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Transgender
115,Strongly opposed,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
116,Strongly in favour,Neutral,Strongly Unsuitable,Somewhat Suitable,1,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Male
117,Somewhat opposed,Neutral,Somewhat Unsuitable,Somewhat Suitable,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Transgender
118,Strongly in favour,Fits Image Perfectly,Highly Suitable,Highly Suitable,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Female
119,Strongly in favour,Fits Image Somewhat,Somewhat Suitable,Strongly Unsuitable,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
120,Neutral or mixed feelings,Fits Image Perfectly,Neutral or Mixed Feelings,Somewhat Unsuitable,1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Female
121,Neutral or mixed feelings,Neutral,Somewhat Unsuitable,Neutral or Mixed Feelings,0,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Female
122,Strongly opposed,Fits Image Perfectly,Highly Suitable,Somewhat Unsuitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Female
123,Strongly opposed,Does Not Fit at All,Highly Suitable,Highly Suitable,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Male
124,Strongly in favour,Fits Image Perfectly,Highly Suitable,Somewhat Unsuitable,0,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Male
125,Somewhat in favour,Does Not Fit at All,Strongly Unsuitable,Neutral or Mixed Feelings,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,Transgender
126,Strongly opposed,Fits Image Somewhat,Neutral or Mixed Feelings,Somewhat Unsuitable,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Female
127,Strongly opposed,Does Not Fit at All,Neutral or Mixed Feelings,Somewhat Suitable,0,1,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Male
128,Strongly opposed,Fits Image Perfectly,Somewhat Suitable,Neutral or Mixed Feelings,0,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
129,Neutral or mixed feelings,Does Not Fit at All,Somewhat Unsuitable,Neutral or Mixed Feelings,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Transgender
130,Neutral or mixed feelings,Neutral,Somewhat Suitable,Highly Suitable,1,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Transgender
131,Somewhat opposed,Neutral,Neutral or Mixed Feelings,Highly Suitable,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Male
132,Neutral or mixed feelings,Fits Image Perfectly,Somewhat Suitable,Somewhat Suitable,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Transgender
133,Strongly opposed,Neutral,Neutral or Mixed Feelings,Somewhat Suitable,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Transgender
134,Somewhat in favour,Does Not Fit at All,Somewhat Unsuitable,Somewhat Unsuitable,0,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Female
135,Strongly opposed,Fits Image Perfectly,Highly Suitable,Highly Suitable,1,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Transgender
136,Strongly in favour,Neutral,Somewhat Unsuitable,Somewhat Suitable,1,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Male
137,Strongly in favour,Neutral,Somewhat Unsuitable,Somewhat Unsuitable,0,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,Female
138,Strongly opposed,Neutral,Strongly Unsuitable,Somewhat Unsuitable,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Female
139,Somewhat in favour,Fits Image Somewhat,Somewhat Suitable,Somewhat Suitable,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Male
140,Neutral or mixed feelings,Neutral,Highly Suitable,Somewhat Suitable,1,0,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,Male
141,Neutral or mixed feelings,Fits Image Somewhat,Strongly Unsuitable,Somewhat Suitable,1,0,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Female
142,Somewhat opposed,Fits Image Somewhat,Somewhat Suitable,Highly Suitable,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Male
143,Neutral or mixed feelings,Does Not Fit at All,Somewhat Suitable,Highly Suitable,0,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Male
144,Strongly in favour,Fits Image Perfectly,Neutral or Mixed Feelings,Neutral or Mixed Feelings,1,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Female
145,Somewhat opposed,Does Not Fit at All,Highly Suitable,Highly Suitable,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Male
146,Strongly opposed,Fits Image Somewhat,Somewhat Unsuitable,Highly Suitable,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,Transgender
147,Strongly in favour,Does Not Fit at All,Highly Suitable,Neutral or Mixed Feelings,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Female
148,Strongly opposed,Does Not Fit at All,Strongly Unsuitable,Somewhat Suitable,0,1,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Transgender
149,Strongly in favour,Neutral,Somewhat Unsuitable,Highly Suitable,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Female
150,Somewhat in favour,Neutral,Somewhat Unsuitable,Somewhat Unsuitable,0,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,Transgender
151,Neutral or mixed feelings,Fits Image Somewhat,Highly Suitable,Neutral or Mixed Feelings,0,1,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Transgender
152,Somewhat opposed,Does Not Fit at All,Neutral or Mixed Feelings,Somewhat Unsuitable,1,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Male
